Time [s],PIN 0,TX
1.582793625,0,1
1.583262875,0,0
1.583702000,1,0
1.583765250,0,0
1.583922125,0,1
1.584391208,0,0
1.584830500,1,0
1.584893750,0,0
1.585050500,0,1
1.585519667,0,0
1.585959000,1,0
1.586022208,0,0
1.586179083,0,1
1.586647917,0,0
1.587087417,1,0
1.587150667,0,0
1.587307500,0,1
1.587776333,0,0
1.588215833,1,0
1.588279083,0,0
1.588436208,0,1
1.588905083,0,0
1.589344333,1,0
1.589407583,0,0
1.589564542,0,1
1.590033208,0,0
1.590472708,1,0
1.590536000,0,0
1.590692958,0,1
1.591161750,0,0
1.591601167,1,0
1.591664417,0,0
1.591821417,0,1
1.592290375,0,0
1.592729625,1,0
1.592792875,0,0
1.592949750,0,1
1.593418750,0,0
1.593858000,1,0
1.593921250,0,0
1.594077917,0,1
1.594546708,0,0
1.594986542,1,0
1.595049750,0,0
1.595206833,0,1
1.595675833,0,0
1.596115000,1,0
1.596178167,0,0
1.596335125,0,1
1.596803583,0,0
1.597243458,1,0
1.597306708,0,0
1.597463667,0,1
1.597932375,0,0
1.598371958,1,0
1.598435167,0,0
1.598591958,0,1
1.599060792,0,0
1.599500333,1,0
1.599563542,0,0
1.599720375,0,1
1.600189625,0,0
1.600628792,1,0
1.600692000,0,0
1.600848917,0,1
1.601317500,0,0
1.601757250,1,0
1.601820500,0,0
1.601977583,0,1
1.602446250,0,0
1.602885667,1,0
1.602948917,0,0
1.603105958,0,1
1.603574375,0,0
1.604014083,1,0
1.604077333,0,0
1.604234292,0,1
1.604703125,0,0
1.605142542,1,0
1.605205792,0,0
1.605362708,0,1
1.605831375,0,0
1.606271000,1,0
1.606334250,0,0
1.606491167,0,1
1.606960000,0,0
1.607399458,1,0
1.607462708,0,0
1.607619750,0,1
1.608088583,0,0
1.608527875,1,0
1.608591125,0,0
1.608747958,0,1
1.609216917,0,0
1.609656333,1,0
1.609719583,0,0
1.609876458,0,1
1.610345292,0,0
1.610784708,1,0
1.610847958,0,0
1.611004917,0,1
