Time [s],PIN 0,TX
1.838476333,1,0
1.838550542,0,0
1.838710208,0,1
1.839351167,0,0
1.840820125,1,0
1.840894333,0,0
1.841051000,0,1
1.841692083,0,0
1.843163833,1,0
1.843238042,0,0
1.843394250,0,1
1.844035083,0,0
1.845507458,1,0
1.845581667,0,0
1.845737833,0,1
1.846378958,0,0
1.847851167,1,0
1.847925417,0,0
1.848081625,0,1
1.848722500,0,0
1.850194875,1,0
1.850269083,0,0
1.850425042,0,1
1.851065833,0,0
1.852538583,1,0
1.852612792,0,0
1.852768833,0,1
1.853409750,0,0
1.854882250,1,0
1.854956458,0,0
1.855112708,0,1
1.855753583,0,0
1.857225958,1,0
1.857300167,0,0
1.857456375,0,1
1.858097250,0,0
1.859569667,1,0
1.859643875,0,0
1.859800042,0,1
1.860440792,0,0
1.861913292,1,0
1.861987542,0,0
1.862143625,0,1
1.862784375,0,0
1.864257042,1,0
1.864331292,0,0
1.864487375,0,1
1.865128292,0,0
1.866600708,1,0
1.866674917,0,0
1.866831375,0,1
1.867472542,0,0
1.868944417,1,0
1.869018625,0,0
1.869174833,0,1
1.869815750,0,0
1.871288167,1,0
1.871362375,0,0
1.871518875,0,1
1.872159708,0,0
1.873631792,1,0
1.873706000,0,0
1.873862375,0,1
1.874503333,0,0
1.875975500,1,0
1.876049708,0,0
1.876206083,0,1
1.876847042,0,0
1.878319167,1,0
1.878393375,0,0
1.878549583,0,1
1.879190583,0,0
1.880662917,1,0
1.880737125,0,0
1.880893167,0,1
1.881533917,0,0
1.883006625,1,0
1.883080833,0,0
1.883237000,0,1
1.883878125,0,0
1.885350333,1,0
1.885424583,0,0
1.885580667,0,1
1.886221542,0,0
1.887694042,1,0
1.887768250,0,0
1.887924458,0,1
1.888565375,0,0
1.890037667,1,0
1.890111917,0,0
1.890268167,0,1
1.890909125,0,0
1.892381417,1,0
1.892455667,0,0
1.892611833,0,1
1.893252667,0,0
1.894725042,1,0
1.894799250,0,0
1.894955375,0,1
1.895596125,0,0
1.897068792,1,0
1.897143000,0,0
1.897299375,0,1
1.897940250,0,0
1.899412542,1,0
1.899486750,0,0
1.899643208,0,1
1.900284375,0,0
1.901756125,1,0
1.901830333,0,0
1.901986833,0,1
1.902627875,0,0
1.904099833,1,0
1.904174042,0,0
1.904330583,0,1
1.904971458,0,0
1.906443625,1,0
1.906517833,0,0
1.906674000,0,1
1.907314792,0,0
1.908787250,1,0
1.908861458,0,0
1.909017583,0,1
1.909658542,0,0
1.911131042,1,0
1.911205292,0,0
1.911361500,0,1
1.912002708,0,0
1.913474667,1,0
1.913548875,0,0
1.913705250,0,1
1.914346417,0,0
1.915818333,1,0
1.915892542,0,0
1.916048625,0,1
1.916689500,0,0
1.918162083,1,0
1.918236292,0,0
1.918392708,0,1
1.919033542,0,0
1.920505708,1,0
1.920579917,0,0
1.920736458,0,1
1.921377417,0,0
1.922849375,1,0
1.922923583,0,0
1.923079792,0,1
1.923720792,0,0
1.925193083,1,0
1.925267292,0,0
1.925423375,0,1
1.926064333,0,0
1.927536875,1,0
1.927611125,0,0
1.927770833,0,1
1.928412250,0,0
1.929880542,1,0
1.929954792,0,0
1.930111250,0,1
1.930752292,0,0
1.932224167,1,0
1.932298375,0,0
1.932454542,0,1
1.933095667,0,0
1.934567917,1,0
1.934642125,0,0
1.934798208,0,1
1.935439250,0,0
1.936911667,1,0
1.936985875,0,0
1.937142042,0,1
1.937782917,0,0
1.939255333,1,0
1.939329542,0,0
1.939489167,0,1
1.940130375,0,0
1.941598958,1,0
1.941673167,0,0
1.941829250,0,1
1.942470000,0,0
1.943942750,1,0
1.944016958,0,0
1.944173333,0,1
1.944814250,0,0
1.946286417,1,0
1.946360625,0,0
1.946517042,0,1
1.947157917,0,0
1.948630083,1,0
1.948704333,0,0
1.948860542,0,1
1.949501667,0,0
1.950973750,1,0
1.951048000,0,0
1.951204000,0,1
1.951844875,0,0
1.953317500,1,0
1.953391708,0,0
1.953547833,0,1
1.954188792,0,0
1.955661167,1,0
1.955735375,0,0
1.955891875,0,1
1.956532958,0,0
1.958004833,1,0
1.958079042,0,0
1.958235417,0,1
1.958876375,0,0
1.960348500,1,0
1.960422750,0,0
1.960578958,0,1
1.961219917,0,0
1.962692292,1,0
1.962766500,0,0
1.962922625,0,1
1.963563542,0,0
1.965036000,1,0
1.965110208,0,0
1.965266292,0,1
1.965907167,0,0
1.967379708,1,0
1.967453958,0,0
1.967613500,0,1
1.968254792,0,0
1.969723292,1,0
1.969797542,0,0
1.969953833,0,1
1.970595333,0,0
1.972067083,1,0
1.972141292,0,0
1.972297458,0,1
1.972938458,0,0
1.974410750,1,0
1.974484958,0,0
1.974641208,0,1
1.975282333,0,0
1.976754417,1,0
1.976828667,0,0
1.976984792,0,1
1.977625458,0,0
1.979098083,1,0
1.979172333,0,0
1.979328500,0,1
1.979969208,0,0
1.981441875,1,0
1.981516083,0,0
1.981675750,0,1
1.982316833,0,0
1.983785500,1,0
1.983859750,0,0
1.984016000,0,1
1.984657083,0,0
1.986129208,1,0
1.986203417,0,0
1.986359667,0,1
1.987000667,0,0
1.988472917,1,0
1.988547125,0,0
1.988703292,0,1
1.989344250,0,0
1.990816583,1,0
1.990890792,0,0
1.991047000,0,1
1.991687917,0,0
1.993160292,1,0
1.993234500,0,0
1.993390708,0,1
1.994031625,0,0
1.995503958,1,0
1.995578167,0,0
1.995734417,0,1
1.996375333,0,0
1.997847667,1,0
1.997921875,0,0
1.998078125,0,1
1.998719167,0,0
2.000191375,1,0
2.000265583,0,0
2.000421792,0,1
2.001062750,0,0
2.002535083,1,0
2.002609333,0,0
2.002765500,0,1
2.003406500,0,0
2.004878792,1,0
2.004953000,0,0
2.005109250,0,1
2.005750292,0,0
2.007222500,1,0
2.007296708,0,0
2.007452958,0,1
2.008094208,0,0
2.009566208,1,0
2.009640417,0,0
2.009796708,0,1
2.010437708,0,0
2.011909875,1,0
2.011984083,0,0
2.012143708,0,1
2.012784875,0,0
2.014253542,1,0
2.014327750,0,0
2.014484042,0,1
2.015124708,0,0
2.016597208,1,0
2.016671458,0,0
2.016827667,0,1
2.017468625,0,0
2.018940917,1,0
2.019015167,0,0
2.019171375,0,1
2.019812542,0,0
2.021284625,1,0
2.021358833,0,0
2.021515083,0,1
2.022156458,0,0
2.023628333,1,0
2.023702583,0,0
2.023858708,0,1
2.024499667,0,0
2.025972042,1,0
